Blog	kids	k	want	machine	service	master	showed	project	tech	best	never	asked	much	life	things	harmony	had	easy	right	old	people	support	happy	love	working	only	such	years	didn	internet	million	open	city	future	san	turned	say	take	going	where	many	photos	technology	being	around	dark	world	power	her	am	tv	th	small	past	full	hours	via	company	learn	paper	its	always	found	really	number	show	obama	also	plan	music	set	see	last	let	read	person	using	couple	d	clinton	into	next	us	ago	having	code	try	video	great	makes	baby	process	high	move	doing	latest	could	put	start	system	face	should	hope	means	email	ve	site	off	less	web	five	become	does	books	problem	work	interview	order	then	another	away	com	air	night	security	marketing	post	months	way	test	update	gun	change	live	car	write	still	non	space	looking	shows	care	directly	online	america	between	actually	these	media	real	early	business	lot	trying	month	very	learned	family	help	since	ask	selling	kindle	pretty	during	x	won	both	look	while	used	game	step	e	go	facebook	products	started	links	him	times	need	written	tuesday	single	well	twitter	home	north	star	else	clothes	even	tips	ever	men	call	tell	amazing	president	before	better	went	side	mean	content	reader	isn	matter	don	m	stop	bad	said	against	appeared	three	website	study	left	human	yes	paid	super	down	drive	shot	finally	did	making	crazy	may	man	talk	nbsp	interesting	rock	thing	think	long	little	anyone	hillary	were	black	enough	reading	doesn	those	middle	different	pay	same	running	money	film	hey	important	starting	former	public	two	response	through	house	hard	idea	part	build	most	find	common	point	simple	bill	fun	itself	yesterday	spend	source	big	google	often	back	others	six	ll	day	text	thought	add	smart	buy	bug	every	street	would	phone	must	me	keep	end	writing	each	got	free	days	already	top	too	took	though	watch	news	search	several	donald	everything	hear	cool	iphone	today	local	trump	information	name	she	oasis	place	white	r	any	ideas	sure	state	college	ways	come	case	good	week	driver	without	model	blog	legal	oh	follow	program	woman	far	design	version	basically	known	short	might	feel	story	kind	check	wrote	art	recently	c	know	questions	fast	called	users	once	apple	app	use	few	women	something	looks	our	york	which	why	looked	view	amazon	april	verizon	gets	half	other	community	getting	own	made	book
Google Blogoscoped	0	0	2	2	6	0	0	0	1	4	1	1	4	0	1	0	3	1	1	0	3	0	0	2	2	2	0	1	0	0	0	2	0	1	0	1	0	1	2	1	0	0	1	0	2	0	1	0	0	1	0	0	1	2	2	0	2	0	0	0	1	2	0	0	5	1	0	2	0	0	1	4	0	2	2	0	4	0	2	0	3	1	1	1	0	0	0	0	0	1	0	2	0	0	2	0	1	1	1	0	0	0	0	0	0	4	4	0	1	4	3	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	1	2	2	0	0	1	0	0	0	2	0	1	2	0	0	1	2	0	1	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	4	2	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	3	0	2	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	3	0	0	3	3	0	0	1	0	1	0	1	0	4	0	28	1	3	1	0	6	3	1	0	3	1	0	1	1	2	11	4	0	4	0	0	0	3	0	2	0	1	1	2	1	3	0	1	1	1	0	0	1	0	1	1	0	0	0	2	0	0	2	0	1	3	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	1	0	1	0	4	3	1	0	2	0	3	0	5	0	0	2	0	0	0	0	0	4	0	0	0	2	0
Deadspin	0	2	0	0	0	0	0	0	0	5	2	1	1	0	2	2	2	1	0	0	1	1	0	0	0	4	0	1	1	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	1	0	3	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	2	3	1	1	0	1	0	0	0	0	1	0	25	1	0	0	0	0	4	0	3	0	0	0	0	1	4	2	1	0	0	0	1	0	0	1	4	2	0	2	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	2	0	1	2	0	3	0	0	0	1	0	0	0	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	1	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	4	0	2	0	1	0	1	1	2	0	1	0	2	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	2	0	2	5	0	1	0	1	0	0	1	0	1	0	0	2	0	1	0	4	0	0	3	3	0	0	0	0	0	3	1	2	0	0	8	0	0	0	2	1	0	0	0	0	3	1	0	0	0	0	2	0	1	0	1	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	3	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	2	0	0	0	1	3	0	2	2	0	0	1	0	1	0	0	0	10	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	1	2	2	1	0	0	0	0	5	0	0	1	0	0	0	0	1	2	1	2	0	4	0	3	0	1	0	3	0	0	2	0	0	0	0	1	1	0
TMZ.com	0	2	1	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	3	1	0	0	0	1	0	0	3	1	0	0	0	0	6	0	0	0	0	1	0	7	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	2	0	0	0	2	0	0	1	1	1	0	1	1	0	7	0	0	4	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	3	1	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3	0	1	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	3	0	1	2	0	0	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0
kottke.org	5	0	2	4	0	2	2	4	0	3	4	2	10	6	3	0	7	0	6	3	16	1	1	1	2	6	5	19	4	0	2	1	3	1	3	2	5	5	3	8	8	3	0	3	4	0	3	0	3	0	3	1	4	4	1	0	10	1	2	3	8	2	1	2	2	7	1	7	1	6	1	6	8	0	2	2	4	0	8	0	10	2	4	6	2	0	1	23	6	1	1	1	3	2	4	1	5	2	0	3	0	2	5	2	1	2	5	2	3	2	0	1	0	3	0	5	0	1	4	1	0	3	2	3	0	0	0	0	8	0	7	1	6	1	1	0	4	2	12	2	2	0	1	1	6	4	2	3	1	2	2	5	3	2	2	4	0	2	3	4	1	0	0	2	2	7	2	1	2	5	3	0	0	2	3	0	0	0	0	2	3	2	2	0	0	7	0	2	2	13	1	0	8	1	3	6	1	2	2	6	7	2	2	0	1	1	1	2	2	4	4	2	0	5	0	0	5	0	4	1	3	2	0	0	1	0	2	0	4	2	0	6	7	1	208	2	0	3	4	5	1	1	0	7	1	3	0	1	4	0	0	0	3	0	3	5	2	2	1	4	0	7	0	4	2	4	2	2	2	4	0	2	2	4	2	2	2	1	0	0	1	0	3	5	3	3	2	6	3	4	1	1	0	0	1	1	6	0	1	9	1	3	3	1	3	1	1	0	3	2	2	2	3	1	3	2	2	0	1	3	0	5	1	7	2	2	3	0	2	2	0	7	3	3	1	0	3	1	0	3	4	0	3	0	3	2	1	1	3	1	5	0	1	0	2	3	3	1	6	0	1	4	5	3	1	4	2	3	5	0	2	0	1	4	3	2	2	2	3	0	7	4	2	2	1	1	0	2	2	8	0	1	4	4	10
O'Reilly Radar	0	0	0	3	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0
Lifehack	0	0	4	0	0	2	0	0	0	0	0	0	0	3	4	0	2	0	1	0	7	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	3	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	3	2	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	20	3	2	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	1	2	1	0	4	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	2	0	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	2	20	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	3	0	3	3	0	0	0	0	0	0	3	0	1	1	2	0	3	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Lifehacker	0	2	4	0	0	2	0	0	2	4	2	0	2	0	3	2	0	1	0	0	1	2	0	1	1	0	0	0	1	0	0	0	3	0	1	0	0	1	1	1	0	2	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	4	1	0	1	1	0	1	25	0	1	1	0	0	2	0	1	0	1	2	3	0	0	1	0	1	1	0	0	0	2	1	0	2	4	1	0	0	1	3	0	4	2	0	0	0	2	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	4	0	2	0	1	0	0	1	3	0	0	1	0	0	0	0	0	2	3	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	3	1	0	2	0	0	4	0	0	2	0	0	1	0	0	0	0	1	0	5	1	1	0	2	0	1	0	0	0	2	5	1	0	1	0	0	0	0	2	2	0	0	2	0	0	1	0	3	0	2	1	1	1	0	0	0	0	1	0	0	3	0	2	0	0	3	0	3	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	5	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	3	0	1	0	1	0	1	0	1	0	2	5	1	0	2	2	1	3	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	1	1	1	0	0	0	3	0	0	0	0	2	1	0	1	1	4	0	2	2	0	0	2	1	2	0	2	0	1	0	0	1	1	0	4	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	3	0	1	1	0	0	1	1	0	0	2	0	0	1	0	2	0	1	1	1	0
Valleywag	0	0	1	0	2	0	0	0	3	0	0	1	3	1	1	0	1	0	1	0	6	0	0	1	2	3	0	1	1	0	0	0	2	1	3	2	0	1	2	0	0	0	1	1	2	0	1	3	7	0	0	0	0	2	1	1	0	8	0	0	9	0	0	1	0	2	0	3	0	2	2	0	4	1	25	2	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	2	5	3	0	0	0	0	1	0	0	4	0	0	1	1	0	7	0	0	1	0	2	1	2	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	1	0	0	0	1	2	0	2	0	1	0	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	1	1	0	0	0	0	1	7	2	0	0	3	0	1	0	1	0	0	0	0	0	2	0	1	1	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	2	4	0	0	5	4	0	0	0	1	2	0	2	0	0	0	3	2	0	0	0	1	0	0	1	2	0	5	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	3	1	3	1	0	0	1	0	0	1	2	0	0	2	3	0	0	0	1	5	0	0	0	1	1	1	1	2	1	0	0	0	1	0	2	7	2	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	2	0	0	0	3	0	0	0	0	0	2	1	2	2	1	2	0	2	2	1	0	3	1	0	0	0	1	1	0	0	0	1	1	0	1	2
Boing Boing	1	0	3	0	3	0	0	0	0	7	4	0	3	0	3	0	7	3	5	4	4	2	0	2	2	4	4	2	0	0	0	0	1	0	0	0	0	1	4	2	4	1	1	2	4	2	5	4	1	2	0	0	0	0	3	1	2	0	0	0	5	2	1	3	2	0	2	3	0	1	2	6	3	0	1	0	0	1	1	5	3	1	5	1	2	0	1	8	1	1	0	0	2	0	1	1	2	0	1	2	2	0	0	0	0	5	0	5	0	0	0	0	1	4	3	3	0	1	1	1	2	6	0	2	0	0	1	0	2	2	0	0	1	3	0	0	0	1	4	1	1	2	0	0	0	1	2	2	0	2	2	2	4	1	0	3	0	0	0	2	1	0	0	0	1	0	2	7	4	3	3	1	0	0	2	2	0	1	0	2	1	4	2	0	2	2	3	1	3	0	1	2	4	0	1	0	0	2	3	1	1	0	0	1	0	1	0	1	1	6	3	2	1	3	1	1	0	1	0	2	1	0	1	0	2	0	1	0	0	0	0	2	0	0	0	0	0	10	0	2	2	1	9	4	1	1	0	1	2	0	1	2	2	0	3	0	2	0	0	1	0	3	0	2	4	1	0	0	0	3	1	0	0	0	1	2	2	2	2	2	1	0	2	2	1	1	1	0	3	0	0	0	2	2	1	1	1	0	1	4	1	1	0	2	3	1	1	1	1	4	2	1	2	0	0	1	1	2	0	2	0	6	0	1	0	0	1	0	0	3	0	0	0	0	3	2	0	1	0	2	0	1	2	1	0	0	0	1	0	2	3	1	0	0	2	0	3	2	1	1	0	2	1	0	0	2	0	2	0	0	1	0	0	4	1	2	1	1	1	4	5	2	0	1	3	3	0	1	5	4	2	0	0	4	8
WIRED	0	0	0	0	0	2	0	0	3	1	0	0	0	1	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	3	1	0	1	1	0	0	2	0	0	0	2	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	0	3	0	1	0	0	0	0	3	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	1	0	22	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	1	0	0	1	1	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	7	0	3	0	0	2	0	0	0	2	0	0	0	0	20	0	0	0	0	0	0	0	0	1	0	2	1	0	2	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	3	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	2	0	0	1	0	0	0	2	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	1
Oilman	0	7	1	0	0	0	0	0	0	0	1	0	3	1	0	0	2	0	0	1	4	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	1	3	1	1	0	0	1	2	0	0	1	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	2	0	0	2	0	0	0	2	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	4	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	2	0	1	5	0	0	1	0	0	0	2	2	0	4	0	0	0	1	3	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	1	0	0	1	0	1	1	0	0	2	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0
Guy Kawasaki	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	1	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	10	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	2	0	0	1	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0
Seth Godin's Blog on marketing, tribes and respect	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	2	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	10	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
